Operation,Duration,MapSelectivity,MapInputRec,MapOutputRec,Mappers,DataSize
write_SC,131,10,5242880,524288,3,500,128
shuffle_SC,494,10,5242880,524288,3,500,128
write_SC,117,10,5242880,524288,3,500,128
shuffle_SC,483,10,5242880,524288,3,500,128
write_SC,124,10,5242880,524288,3,500,128
shuffle_SC,465,10,5242880,524288,3,500,128
write_SC,136,10,5242880,524288,3,500,128
shuffle_SC,503,10,5242880,524288,3,500,128
write_SC,124,10,5242880,524288,3,500,128
shuffle_SC,480,10,5242880,524288,3,500,128
write_SC,153,10,5242880,524288,3,500,128
shuffle_SC,495,10,5242880,524288,3,500,128
write_SC,125,10,5242880,524288,3,500,128
shuffle_SC,476,10,5242880,524288,3,500,128
read_SC,1455,10,5242880,524288,3,500,128
collect_SC,73,10,5242880,524288,3,500,128
spill_SC,560,10,5242880,524288,3,500,128
merge_SC,9,10,5242880,524288,3,500,128
read_SC,1275,10,5242880,524288,3,500,128
collect_SC,70,10,5242880,524288,3,500,128
spill_SC,518,10,5242880,524288,3,500,128
merge_SC,8,10,5242880,524288,3,500,128
read_SC,1296,10,5242880,524288,3,500,128
collect_SC,62,10,5242880,524288,3,500,128
spill_SC,569,10,5242880,524288,3,500,128
merge_SC,9,10,5242880,524288,3,500,128
write_SC,139,10,5242880,524288,3,500,128
shuffle_SC,1300,10,5242880,524288,3,500,128
read_SC,1380,10,5242880,524288,3,500,128
collect_SC,77,10,5242880,524288,3,500,128
spill_SC,513,10,5242880,524288,3,500,128
merge_SC,11,10,5242880,524288,3,500,128
write_SC,178,20,5242880,1048576,3,500,128
shuffle_SC,628,20,5242880,1048576,3,500,128
write_SC,193,20,5242880,1048576,3,500,128
shuffle_SC,655,20,5242880,1048576,3,500,128
write_SC,212,20,5242880,1048576,3,500,128
shuffle_SC,664,20,5242880,1048576,3,500,128
write_SC,225,20,5242880,1048576,3,500,128
shuffle_SC,651,20,5242880,1048576,3,500,128
write_SC,208,20,5242880,1048576,3,500,128
shuffle_SC,673,20,5242880,1048576,3,500,128
write_SC,194,20,5242880,1048576,3,500,128
shuffle_SC,652,20,5242880,1048576,3,500,128
write_SC,198,20,5242880,1048576,3,500,128
shuffle_SC,663,20,5242880,1048576,3,500,128
write_SC,186,20,5242880,1048576,3,500,128
shuffle_SC,2408,20,5242880,1048576,3,500,128
read_SC,1240,20,5242880,1048576,3,500,128
collect_SC,106,20,5242880,1048576,3,500,128
spill_SC,949,20,5242880,1048576,3,500,128
merge_SC,8,20,5242880,1048576,3,500,128
read_SC,1318,20,5242880,1048576,3,500,128
collect_SC,149,20,5242880,1048576,3,500,128
spill_SC,1000,20,5242880,1048576,3,500,128
merge_SC,9,20,5242880,1048576,3,500,128
read_SC,1357,20,5242880,1048576,3,500,128
collect_SC,136,20,5242880,1048576,3,500,128
spill_SC,1016,20,5242880,1048576,3,500,128
merge_SC,9,20,5242880,1048576,3,500,128
read_SC,1393,20,5242880,1048576,3,500,128
collect_SC,123,20,5242880,1048576,3,500,128
spill_SC,1003,20,5242880,1048576,3,500,128
merge_SC,8,20,5242880,1048576,3,500,128
read_SC,1404,30,5242880,1572864,3,500,128
collect_SC,181,30,5242880,1572864,3,500,128
spill_SC,1592,30,5242880,1572864,3,500,128
merge_SC,9,30,5242880,1572864,3,500,128
read_SC,1320,30,5242880,1572864,3,500,128
collect_SC,194,30,5242880,1572864,3,500,128
spill_SC,1537,30,5242880,1572864,3,500,128
merge_SC,8,30,5242880,1572864,3,500,128
read_SC,1397,30,5242880,1572864,3,500,128
collect_SC,172,30,5242880,1572864,3,500,128
spill_SC,1490,30,5242880,1572864,3,500,128
merge_SC,8,30,5242880,1572864,3,500,128
write_SC,230,30,5242880,1572864,3,500,128
shuffle_SC,2505,30,5242880,1572864,3,500,128
read_SC,1272,30,5242880,1572864,3,500,128
collect_SC,162,30,5242880,1572864,3,500,128
spill_SC,1516,30,5242880,1572864,3,500,128
merge_SC,8,30,5242880,1572864,3,500,128
write_SC,278,30,5242880,1572864,3,500,128
shuffle_SC,774,30,5242880,1572864,3,500,128
write_SC,294,30,5242880,1572864,3,500,128
shuffle_SC,803,30,5242880,1572864,3,500,128
write_SC,253,30,5242880,1572864,3,500,128
shuffle_SC,771,30,5242880,1572864,3,500,128
write_SC,281,30,5242880,1572864,3,500,128
shuffle_SC,816,30,5242880,1572864,3,500,128
write_SC,297,30,5242880,1572864,3,500,128
shuffle_SC,781,30,5242880,1572864,3,500,128
write_SC,288,30,5242880,1572864,3,500,128
shuffle_SC,801,30,5242880,1572864,3,500,128
write_SC,252,30,5242880,1572864,3,500,128
