Operation,Duration,MapSelectivity,MapInputRec,MapOutputRec,Mappers,DataSize
collect_SC,73,10,5242880,524288,3,500
collect_SC,70,10,5242880,524288,3,500
collect_SC,62,10,5242880,524288,3,500
collect_SC,77,10,5242880,524288,3,500
collect_SC,106,20,5242880,1048576,3,500
collect_SC,149,20,5242880,1048576,3,500
collect_SC,136,20,5242880,1048576,3,500
collect_SC,123,20,5242880,1048576,3,500
collect_SC,181,30,5242880,1572864,3,500
collect_SC,194,30,5242880,1572864,3,500
collect_SC,172,30,5242880,1572864,3,500
collect_SC,162,30,5242880,1572864,3,500
collect_SC,201,40,5242880,2097152,3,500
collect_SC,215,40,5242880,2097152,3,500
collect_SC,232,40,5242880,2097152,3,500
collect_SC,208,40,5242880,2097152,3,500
collect_SC,242,50,5242880,2621440,3,500
collect_SC,243,50,5242880,2621440,3,500
collect_SC,268,50,5242880,2621440,3,500
collect_SC,260,50,5242880,2621440,3,500
collect_SC,337,60,5242880,3145728,3,500
collect_SC,313,60,5242880,3145728,3,500
collect_SC,338,60,5242880,3145728,3,500
collect_SC,347,60,5242880,3145728,3,500
collect_SC,561,70,5242880,3670016,3,500
collect_SC,604,70,5242880,3670016,3,500
collect_SC,554,70,5242880,3670016,3,500
collect_SC,467,70,5242880,3670016,3,500
collect_SC,3500,80,5242880,4194304,3,500
collect_SC,3362,80,5242880,4194304,3,500
collect_SC,3164,80,5242880,4194304,3,500
collect_SC,3200,80,5242880,4194304,3,500
collect_SC,3305,90,5242880,4718592,3,500
collect_SC,3429,90,5242880,4718592,3,500
collect_SC,3221,90,5242880,4718592,3,500
collect_SC,3301,90,5242880,4718592,3,500
collect_SC,3395,100,5242880,5242880,3,500
collect_SC,3368,100,5242880,5242880,3,500
collect_SC,3443,100,5242880,5242880,3,500
collect_SC,3358,100,5242880,5242880,3,500
collect_SC,102,10,7864320,786432,5,750
collect_SC,81,10,7864320,786432,5,750
collect_SC,96,10,7864320,786432,5,750
collect_SC,111,10,7864320,786432,5,750
collect_SC,83,10,7864320,786432,5,750
collect_SC,71,10,7864320,786432,5,750
collect_SC,135,20,7864320,1572864,5,750
collect_SC,117,20,7864320,1572864,5,750
collect_SC,168,20,7864320,1572864,5,750
collect_SC,134,20,7864320,1572864,5,750
collect_SC,124,20,7864320,1572864,5,750
collect_SC,142,20,7864320,1572864,5,750
collect_SC,184,30,7864320,2359296,5,750
collect_SC,160,30,7864320,2359296,5,750
collect_SC,174,30,7864320,2359296,5,750
collect_SC,160,30,7864320,2359296,5,750
collect_SC,179,30,7864320,2359296,5,750
collect_SC,151,30,7864320,2359296,5,750
collect_SC,236,40,7864320,3145728,5,750
collect_SC,234,40,7864320,3145728,5,750
collect_SC,239,40,7864320,3145728,5,750
collect_SC,240,40,7864320,3145728,5,750
collect_SC,186,40,7864320,3145728,5,750
collect_SC,232,40,7864320,3145728,5,750
collect_SC,235,50,7864320,3932160,5,750
collect_SC,303,50,7864320,3932160,5,750
collect_SC,262,50,7864320,3932160,5,750
collect_SC,260,50,7864320,3932160,5,750
collect_SC,252,50,7864320,3932160,5,750
collect_SC,279,50,7864320,3932160,5,750
collect_SC,342,60,7864320,4718592,5,750
collect_SC,355,60,7864320,4718592,5,750
collect_SC,333,60,7864320,4718592,5,750
collect_SC,311,60,7864320,4718592,5,750
collect_SC,336,60,7864320,4718592,5,750
collect_SC,340,60,7864320,4718592,5,750
collect_SC,643,70,7864320,5505024,5,750
collect_SC,590,70,7864320,5505024,5,750
collect_SC,623,70,7864320,5505024,5,750
collect_SC,414,70,7864320,5505024,5,750
collect_SC,585,70,7864320,5505024,5,750
collect_SC,534,70,7864320,5505024,5,750
collect_SC,3133,80,7864320,6291456,5,750
collect_SC,3237,80,7864320,6291456,5,750
collect_SC,3173,80,7864320,6291456,5,750
collect_SC,3345,80,7864320,6291456,5,750
collect_SC,3341,80,7864320,6291456,5,750
collect_SC,3403,80,7864320,6291456,5,750
collect_SC,3292,90,7864320,7077888,5,750
collect_SC,3253,90,7864320,7077888,5,750
collect_SC,3285,90,7864320,7077888,5,750
collect_SC,3505,90,7864320,7077888,5,750
collect_SC,3363,90,7864320,7077888,5,750
collect_SC,3326,90,7864320,7077888,5,750
collect_SC,3433,100,7864320,7864320,5,750
collect_SC,3306,100,7864320,7864320,5,750
collect_SC,3238,100,7864320,7864320,5,750
collect_SC,3512,100,7864320,7864320,5,750
collect_SC,3461,100,7864320,7864320,5,750
collect_SC,3200,100,7864320,7864320,5,750
collect_SC,99,10,10737418,1073741,8,1024
collect_SC,53,10,10737418,1073741,8,1024
collect_SC,73,10,10737418,1073741,8,1024
collect_SC,65,10,10737418,1073741,8,1024
collect_SC,80,10,10737418,1073741,8,1024
collect_SC,81,10,10737418,1073741,8,1024
collect_SC,109,10,10737418,1073741,8,1024
collect_SC,85,10,10737418,1073741,8,1024
collect_SC,123,20,10737418,2147483,8,1024
collect_SC,114,20,10737418,2147483,8,1024
collect_SC,129,20,10737418,2147483,8,1024
collect_SC,151,20,10737418,2147483,8,1024
collect_SC,129,20,10737418,2147483,8,1024
collect_SC,127,20,10737418,2147483,8,1024
collect_SC,117,20,10737418,2147483,8,1024
collect_SC,116,20,10737418,2147483,8,1024
collect_SC,162,30,10737418,3221225,8,1024
collect_SC,183,30,10737418,3221225,8,1024
collect_SC,163,30,10737418,3221225,8,1024
collect_SC,136,30,10737418,3221225,8,1024
collect_SC,179,30,10737418,3221225,8,1024
collect_SC,171,30,10737418,3221225,8,1024
collect_SC,140,30,10737418,3221225,8,1024
collect_SC,158,30,10737418,3221225,8,1024
collect_SC,217,40,10737418,4294967,8,1024
