Operation,Duration,MapSelectivity,MapInputRec,MapOutputRec,Mappers,DataSize
read_SC,1455,10,5242880,524288,3,500
read_SC,1275,10,5242880,524288,3,500
read_SC,1296,10,5242880,524288,3,500
read_SC,1380,10,5242880,524288,3,500
read_SC,1240,20,5242880,1048576,3,500
read_SC,1318,20,5242880,1048576,3,500
read_SC,1357,20,5242880,1048576,3,500
read_SC,1393,20,5242880,1048576,3,500
read_SC,1404,30,5242880,1572864,3,500
read_SC,1320,30,5242880,1572864,3,500
read_SC,1397,30,5242880,1572864,3,500
read_SC,1272,30,5242880,1572864,3,500
read_SC,1334,40,5242880,2097152,3,500
read_SC,1199,40,5242880,2097152,3,500
read_SC,1321,40,5242880,2097152,3,500
read_SC,1350,40,5242880,2097152,3,500
read_SC,1489,50,5242880,2621440,3,500
read_SC,1229,50,5242880,2621440,3,500
read_SC,1398,50,5242880,2621440,3,500
read_SC,1461,50,5242880,2621440,3,500
read_SC,1453,60,5242880,3145728,3,500
read_SC,1437,60,5242880,3145728,3,500
read_SC,1263,60,5242880,3145728,3,500
read_SC,1391,60,5242880,3145728,3,500
read_SC,1228,70,5242880,3670016,3,500
read_SC,1476,70,5242880,3670016,3,500
read_SC,1400,70,5242880,3670016,3,500
read_SC,1327,70,5242880,3670016,3,500
read_SC,1268,80,5242880,4194304,3,500
read_SC,1283,80,5242880,4194304,3,500
read_SC,1433,80,5242880,4194304,3,500
read_SC,1329,80,5242880,4194304,3,500
read_SC,1362,90,5242880,4718592,3,500
read_SC,1417,90,5242880,4718592,3,500
read_SC,1418,90,5242880,4718592,3,500
read_SC,1244,90,5242880,4718592,3,500
read_SC,1422,100,5242880,5242880,3,500
read_SC,1404,100,5242880,5242880,3,500
read_SC,1286,100,5242880,5242880,3,500
read_SC,1260,100,5242880,5242880,3,500
read_SC,1509,10,7864320,786432,5,750
read_SC,1342,10,7864320,786432,5,750
read_SC,1278,10,7864320,786432,5,750
read_SC,1308,10,7864320,786432,5,750
read_SC,1321,10,7864320,786432,5,750
read_SC,1365,10,7864320,786432,5,750
read_SC,1273,20,7864320,1572864,5,750
read_SC,1369,20,7864320,1572864,5,750
read_SC,1301,20,7864320,1572864,5,750
read_SC,1359,20,7864320,1572864,5,750
read_SC,1289,20,7864320,1572864,5,750
read_SC,1358,20,7864320,1572864,5,750
read_SC,1297,30,7864320,2359296,5,750
read_SC,1341,30,7864320,2359296,5,750
read_SC,1396,30,7864320,2359296,5,750
read_SC,1347,30,7864320,2359296,5,750
read_SC,1435,30,7864320,2359296,5,750
read_SC,1407,30,7864320,2359296,5,750
read_SC,1352,40,7864320,3145728,5,750
read_SC,1409,40,7864320,3145728,5,750
read_SC,1393,40,7864320,3145728,5,750
read_SC,1306,40,7864320,3145728,5,750
read_SC,1427,40,7864320,3145728,5,750
read_SC,1433,40,7864320,3145728,5,750
read_SC,1354,50,7864320,3932160,5,750
read_SC,1379,50,7864320,3932160,5,750
read_SC,1239,50,7864320,3932160,5,750
read_SC,1270,50,7864320,3932160,5,750
read_SC,1474,50,7864320,3932160,5,750
read_SC,1350,50,7864320,3932160,5,750
read_SC,1313,60,7864320,4718592,5,750
read_SC,1403,60,7864320,4718592,5,750
read_SC,1579,60,7864320,4718592,5,750
read_SC,1347,60,7864320,4718592,5,750
read_SC,1442,60,7864320,4718592,5,750
read_SC,1248,60,7864320,4718592,5,750
read_SC,1265,70,7864320,5505024,5,750
read_SC,1248,70,7864320,5505024,5,750
read_SC,1482,70,7864320,5505024,5,750
read_SC,1420,70,7864320,5505024,5,750
read_SC,1493,70,7864320,5505024,5,750
read_SC,1335,70,7864320,5505024,5,750
read_SC,1446,80,7864320,6291456,5,750
read_SC,1262,80,7864320,6291456,5,750
read_SC,1343,80,7864320,6291456,5,750
read_SC,1436,80,7864320,6291456,5,750
read_SC,1389,80,7864320,6291456,5,750
read_SC,1413,80,7864320,6291456,5,750
read_SC,1433,90,7864320,7077888,5,750
read_SC,1347,90,7864320,7077888,5,750
read_SC,1418,90,7864320,7077888,5,750
read_SC,1392,90,7864320,7077888,5,750
read_SC,1389,90,7864320,7077888,5,750
read_SC,1418,90,7864320,7077888,5,750
read_SC,1484,100,7864320,7864320,5,750
read_SC,1372,100,7864320,7864320,5,750
read_SC,1226,100,7864320,7864320,5,750
read_SC,1351,100,7864320,7864320,5,750
read_SC,1380,100,7864320,7864320,5,750
read_SC,1369,100,7864320,7864320,5,750
read_SC,1351,10,10737418,1073741,8,1024
read_SC,1047,10,10737418,1073741,8,1024
read_SC,1298,10,10737418,1073741,8,1024
read_SC,1232,10,10737418,1073741,8,1024
read_SC,1345,10,10737418,1073741,8,1024
read_SC,1335,10,10737418,1073741,8,1024
read_SC,1504,10,10737418,1073741,8,1024
read_SC,1309,10,10737418,1073741,8,1024
read_SC,1466,20,10737418,2147483,8,1024
read_SC,1329,20,10737418,2147483,8,1024
read_SC,1312,20,10737418,2147483,8,1024
read_SC,1413,20,10737418,2147483,8,1024
read_SC,1355,20,10737418,2147483,8,1024
read_SC,1320,20,10737418,2147483,8,1024
read_SC,1357,20,10737418,2147483,8,1024
read_SC,1343,20,10737418,2147483,8,1024
read_SC,1426,30,10737418,3221225,8,1024
read_SC,1331,30,10737418,3221225,8,1024
read_SC,1383,30,10737418,3221225,8,1024
read_SC,1420,30,10737418,3221225,8,1024
read_SC,1375,30,10737418,3221225,8,1024
read_SC,1345,30,10737418,3221225,8,1024
read_SC,1396,30,10737418,3221225,8,1024
read_SC,1403,30,10737418,3221225,8,1024
read_SC,1387,40,10737418,4294967,8,1024
read_SC,1364,40,10737418,4294967,8,1024
read_SC,1524,40,10737418,4294967,8,1024
read_SC,1413,40,10737418,4294967,8,1024
read_SC,1341,40,10737418,4294967,8,1024
read_SC,1397,40,10737418,4294967,8,1024
read_SC,1414,40,10737418,4294967,8,1024
read_SC,1370,40,10737418,4294967,8,1024
read_SC,1386,50,10737418,5368709,8,1024
read_SC,1317,50,10737418,5368709,8,1024
read_SC,1289,50,10737418,5368709,8,1024
read_SC,1300,50,10737418,5368709,8,1024
read_SC,1357,50,10737418,5368709,8,1024
read_SC,1291,50,10737418,5368709,8,1024
read_SC,1365,50,10737418,5368709,8,1024
read_SC,1368,50,10737418,5368709,8,1024
read_SC,1414,60,10737418,6442450,8,1024
read_SC,1395,60,10737418,6442450,8,1024
read_SC,1426,60,10737418,6442450,8,1024
read_SC,1473,60,10737418,6442450,8,1024
read_SC,1389,60,10737418,6442450,8,1024
read_SC,1440,60,10737418,6442450,8,1024
read_SC,1337,60,10737418,6442450,8,1024
read_SC,1452,60,10737418,6442450,8,1024
read_SC,1379,70,10737418,7516192,8,1024
read_SC,1317,70,10737418,7516192,8,1024
read_SC,1431,70,10737418,7516192,8,1024
read_SC,1467,70,10737418,7516192,8,1024
read_SC,1440,70,10737418,7516192,8,1024
read_SC,1426,70,10737418,7516192,8,1024
read_SC,1521,70,10737418,7516192,8,1024
read_SC,1396,70,10737418,7516192,8,1024
read_SC,1446,80,10737418,8589934,8,1024
read_SC,1336,80,10737418,8589934,8,1024
read_SC,1440,80,10737418,8589934,8,1024
read_SC,1321,80,10737418,8589934,8,1024
