Operation,Duration,MapSelectivity,MapInputRec,MapOutputRec,Mappers,DataSize
shuffle_SC,494,10,5242880,524288,3,500
shuffle_SC,483,10,5242880,524288,3,500
shuffle_SC,465,10,5242880,524288,3,500
shuffle_SC,503,10,5242880,524288,3,500
shuffle_SC,480,10,5242880,524288,3,500
shuffle_SC,495,10,5242880,524288,3,500
shuffle_SC,476,10,5242880,524288,3,500
shuffle_SC,1300,10,5242880,524288,3,500
shuffle_SC,628,20,5242880,1048576,3,500
shuffle_SC,655,20,5242880,1048576,3,500
shuffle_SC,664,20,5242880,1048576,3,500
shuffle_SC,651,20,5242880,1048576,3,500
shuffle_SC,673,20,5242880,1048576,3,500
shuffle_SC,652,20,5242880,1048576,3,500
shuffle_SC,663,20,5242880,1048576,3,500
shuffle_SC,2408,20,5242880,1048576,3,500
shuffle_SC,2505,30,5242880,1572864,3,500
shuffle_SC,774,30,5242880,1572864,3,500
shuffle_SC,803,30,5242880,1572864,3,500
shuffle_SC,771,30,5242880,1572864,3,500
shuffle_SC,816,30,5242880,1572864,3,500
shuffle_SC,781,30,5242880,1572864,3,500
shuffle_SC,801,30,5242880,1572864,3,500
shuffle_SC,755,30,5242880,1572864,3,500
shuffle_SC,942,40,5242880,2097152,3,500
shuffle_SC,897,40,5242880,2097152,3,500
shuffle_SC,902,40,5242880,2097152,3,500
shuffle_SC,951,40,5242880,2097152,3,500
shuffle_SC,948,40,5242880,2097152,3,500
shuffle_SC,933,40,5242880,2097152,3,500
shuffle_SC,3578,40,5242880,2097152,3,500
shuffle_SC,934,40,5242880,2097152,3,500
shuffle_SC,1089,50,5242880,2621440,3,500
shuffle_SC,1075,50,5242880,2621440,3,500
shuffle_SC,1086,50,5242880,2621440,3,500
shuffle_SC,1089,50,5242880,2621440,3,500
shuffle_SC,3671,50,5242880,2621440,3,500
shuffle_SC,1329,50,5242880,2621440,3,500
shuffle_SC,1070,50,5242880,2621440,3,500
shuffle_SC,1074,50,5242880,2621440,3,500
shuffle_SC,1091,60,5242880,3145728,3,500
shuffle_SC,5772,60,5242880,3145728,3,500
shuffle_SC,1219,60,5242880,3145728,3,500
shuffle_SC,1219,60,5242880,3145728,3,500
shuffle_SC,1199,60,5242880,3145728,3,500
shuffle_SC,1218,60,5242880,3145728,3,500
shuffle_SC,1146,60,5242880,3145728,3,500
shuffle_SC,1182,60,5242880,3145728,3,500
shuffle_SC,6896,70,5242880,3670016,3,500
shuffle_SC,1305,70,5242880,3670016,3,500
shuffle_SC,1322,70,5242880,3670016,3,500
shuffle_SC,1267,70,5242880,3670016,3,500
shuffle_SC,1299,70,5242880,3670016,3,500
shuffle_SC,1294,70,5242880,3670016,3,500
shuffle_SC,1294,70,5242880,3670016,3,500
shuffle_SC,1284,70,5242880,3670016,3,500
shuffle_SC,1417,80,5242880,4194304,3,500
shuffle_SC,9001,80,5242880,4194304,3,500
shuffle_SC,1416,80,5242880,4194304,3,500
shuffle_SC,3969,80,5242880,4194304,3,500
shuffle_SC,1423,80,5242880,4194304,3,500
shuffle_SC,1438,80,5242880,4194304,3,500
shuffle_SC,1430,80,5242880,4194304,3,500
shuffle_SC,1443,80,5242880,4194304,3,500
shuffle_SC,1572,90,5242880,4718592,3,500
shuffle_SC,1584,90,5242880,4718592,3,500
shuffle_SC,1582,90,5242880,4718592,3,500
shuffle_SC,1575,90,5242880,4718592,3,500
shuffle_SC,1562,90,5242880,4718592,3,500
shuffle_SC,1576,90,5242880,4718592,3,500
shuffle_SC,1518,90,5242880,4718592,3,500
shuffle_SC,12076,90,5242880,4718592,3,500
shuffle_SC,1670,100,5242880,5242880,3,500
shuffle_SC,1410,100,5242880,5242880,3,500
shuffle_SC,1667,100,5242880,5242880,3,500
shuffle_SC,1695,100,5242880,5242880,3,500
shuffle_SC,10148,100,5242880,5242880,3,500
shuffle_SC,1663,100,5242880,5242880,3,500
shuffle_SC,1665,100,5242880,5242880,3,500
shuffle_SC,1679,100,5242880,5242880,3,500
shuffle_SC,592,10,7864320,786432,5,750
shuffle_SC,559,10,7864320,786432,5,750
shuffle_SC,566,10,7864320,786432,5,750
shuffle_SC,561,10,7864320,786432,5,750
shuffle_SC,569,10,7864320,786432,5,750
shuffle_SC,559,10,7864320,786432,5,750
shuffle_SC,557,10,7864320,786432,5,750
shuffle_SC,585,10,7864320,786432,5,750
shuffle_SC,830,20,7864320,1572864,5,750
shuffle_SC,818,20,7864320,1572864,5,750
shuffle_SC,805,20,7864320,1572864,5,750
shuffle_SC,813,20,7864320,1572864,5,750
shuffle_SC,810,20,7864320,1572864,5,750
shuffle_SC,826,20,7864320,1572864,5,750
shuffle_SC,821,20,7864320,1572864,5,750
shuffle_SC,837,20,7864320,1572864,5,750
shuffle_SC,1017,30,7864320,2359296,5,750
shuffle_SC,1002,30,7864320,2359296,5,750
shuffle_SC,998,30,7864320,2359296,5,750
shuffle_SC,1012,30,7864320,2359296,5,750
shuffle_SC,1000,30,7864320,2359296,5,750
shuffle_SC,1025,30,7864320,2359296,5,750
shuffle_SC,1020,30,7864320,2359296,5,750
shuffle_SC,1020,30,7864320,2359296,5,750
shuffle_SC,1201,40,7864320,3145728,5,750
shuffle_SC,1208,40,7864320,3145728,5,750
shuffle_SC,1192,40,7864320,3145728,5,750
shuffle_SC,1225,40,7864320,3145728,5,750
shuffle_SC,1208,40,7864320,3145728,5,750
shuffle_SC,1210,40,7864320,3145728,5,750
shuffle_SC,1215,40,7864320,3145728,5,750
shuffle_SC,1183,40,7864320,3145728,5,750
shuffle_SC,1425,50,7864320,3932160,5,750
shuffle_SC,1406,50,7864320,3932160,5,750
shuffle_SC,1404,50,7864320,3932160,5,750
shuffle_SC,1422,50,7864320,3932160,5,750
shuffle_SC,1412,50,7864320,3932160,5,750
shuffle_SC,1404,50,7864320,3932160,5,750
shuffle_SC,1407,50,7864320,3932160,5,750
shuffle_SC,1446,50,7864320,3932160,5,750
shuffle_SC,1596,60,7864320,4718592,5,750
shuffle_SC,1637,60,7864320,4718592,5,750
shuffle_SC,1604,60,7864320,4718592,5,750
shuffle_SC,1598,60,7864320,4718592,5,750
shuffle_SC,1630,60,7864320,4718592,5,750
shuffle_SC,1611,60,7864320,4718592,5,750
shuffle_SC,1611,60,7864320,4718592,5,750
shuffle_SC,1577,60,7864320,4718592,5,750
shuffle_SC,1793,70,7864320,5505024,5,750
shuffle_SC,1755,70,7864320,5505024,5,750
shuffle_SC,1800,70,7864320,5505024,5,750
shuffle_SC,1781,70,7864320,5505024,5,750
shuffle_SC,1811,70,7864320,5505024,5,750
shuffle_SC,1776,70,7864320,5505024,5,750
shuffle_SC,1813,70,7864320,5505024,5,750
shuffle_SC,1794,70,7864320,5505024,5,750
shuffle_SC,1977,80,7864320,6291456,5,750
shuffle_SC,1961,80,7864320,6291456,5,750
shuffle_SC,1948,80,7864320,6291456,5,750
shuffle_SC,2002,80,7864320,6291456,5,750
shuffle_SC,1985,80,7864320,6291456,5,750
shuffle_SC,1951,80,7864320,6291456,5,750
shuffle_SC,1980,80,7864320,6291456,5,750
shuffle_SC,2056,80,7864320,6291456,5,750
shuffle_SC,2240,90,7864320,7077888,5,750
shuffle_SC,2215,90,7864320,7077888,5,750
shuffle_SC,2246,90,7864320,7077888,5,750
shuffle_SC,2212,90,7864320,7077888,5,750
shuffle_SC,2166,90,7864320,7077888,5,750
shuffle_SC,1857,90,7864320,7077888,5,750
shuffle_SC,2204,90,7864320,7077888,5,750
shuffle_SC,2185,90,7864320,7077888,5,750
shuffle_SC,2316,100,7864320,7864320,5,750
shuffle_SC,2348,100,7864320,7864320,5,750
shuffle_SC,2380,100,7864320,7864320,5,750
shuffle_SC,2319,100,7864320,7864320,5,750
shuffle_SC,1947,100,7864320,7864320,5,750
shuffle_SC,2350,100,7864320,7864320,5,750
shuffle_SC,2375,100,7864320,7864320,5,750
shuffle_SC,1970,100,7864320,7864320,5,750
shuffle_SC,663,10,10737418,1073741,8,1024
shuffle_SC,663,10,10737418,1073741,8,1024
shuffle_SC,664,10,10737418,1073741,8,1024
shuffle_SC,675,10,10737418,1073741,8,1024
shuffle_SC,648,10,10737418,1073741,8,1024
shuffle_SC,663,10,10737418,1073741,8,1024
shuffle_SC,2408,10,10737418,1073741,8,1024
shuffle_SC,639,10,10737418,1073741,8,1024
shuffle_SC,940,20,10737418,2147483,8,1024
shuffle_SC,903,20,10737418,2147483,8,1024
shuffle_SC,3581,20,10737418,2147483,8,1024
shuffle_SC,942,20,10737418,2147483,8,1024
shuffle_SC,916,20,10737418,2147483,8,1024
shuffle_SC,902,20,10737418,2147483,8,1024
shuffle_SC,968,20,10737418,2147483,8,1024
shuffle_SC,897,20,10737418,2147483,8,1024
shuffle_SC,1215,30,10737418,3221225,8,1024
shuffle_SC,1187,30,10737418,3221225,8,1024
shuffle_SC,1157,30,10737418,3221225,8,1024
shuffle_SC,1215,30,10737418,3221225,8,1024
shuffle_SC,1194,30,10737418,3221225,8,1024
shuffle_SC,1257,30,10737418,3221225,8,1024
shuffle_SC,1219,30,10737418,3221225,8,1024
shuffle_SC,4767,30,10737418,3221225,8,1024
shuffle_SC,1528,40,10737418,4294967,8,1024
shuffle_SC,1463,40,10737418,4294967,8,1024
shuffle_SC,1439,40,10737418,4294967,8,1024
shuffle_SC,1453,40,10737418,4294967,8,1024
shuffle_SC,1425,40,10737418,4294967,8,1024
shuffle_SC,1449,40,10737418,4294967,8,1024
shuffle_SC,1433,40,10737418,4294967,8,1024
shuffle_SC,4974,40,10737418,4294967,8,1024
shuffle_SC,3686,50,10737418,5368709,8,1024
shuffle_SC,1719,50,10737418,5368709,8,1024
shuffle_SC,5141,50,10737418,5368709,8,1024
shuffle_SC,1684,50,10737418,5368709,8,1024
shuffle_SC,1759,50,10737418,5368709,8,1024
