Operation,Duration,MapSelectivity,MapInputRec,MapOutputRec,Mappers,DataSize
write_SC,131,10,5242880,524288,3,500
write_SC,117,10,5242880,524288,3,500
write_SC,124,10,5242880,524288,3,500
write_SC,136,10,5242880,524288,3,500
write_SC,124,10,5242880,524288,3,500
write_SC,153,10,5242880,524288,3,500
write_SC,125,10,5242880,524288,3,500
write_SC,139,10,5242880,524288,3,500
write_SC,178,20,5242880,1048576,3,500
write_SC,193,20,5242880,1048576,3,500
write_SC,212,20,5242880,1048576,3,500
write_SC,225,20,5242880,1048576,3,500
write_SC,208,20,5242880,1048576,3,500
write_SC,194,20,5242880,1048576,3,500
write_SC,198,20,5242880,1048576,3,500
write_SC,186,20,5242880,1048576,3,500
write_SC,230,30,5242880,1572864,3,500
write_SC,278,30,5242880,1572864,3,500
write_SC,294,30,5242880,1572864,3,500
write_SC,253,30,5242880,1572864,3,500
write_SC,281,30,5242880,1572864,3,500
write_SC,297,30,5242880,1572864,3,500
write_SC,288,30,5242880,1572864,3,500
write_SC,252,30,5242880,1572864,3,500
write_SC,343,40,5242880,2097152,3,500
write_SC,2198,40,5242880,2097152,3,500
write_SC,327,40,5242880,2097152,3,500
write_SC,338,40,5242880,2097152,3,500
write_SC,330,40,5242880,2097152,3,500
write_SC,374,40,5242880,2097152,3,500
write_SC,319,40,5242880,2097152,3,500
write_SC,365,40,5242880,2097152,3,500
write_SC,397,50,5242880,2621440,3,500
write_SC,452,50,5242880,2621440,3,500
write_SC,417,50,5242880,2621440,3,500
write_SC,424,50,5242880,2621440,3,500
write_SC,358,50,5242880,2621440,3,500
write_SC,358,50,5242880,2621440,3,500
write_SC,401,50,5242880,2621440,3,500
write_SC,432,50,5242880,2621440,3,500
write_SC,389,60,5242880,3145728,3,500
write_SC,382,60,5242880,3145728,3,500
write_SC,467,60,5242880,3145728,3,500
write_SC,442,60,5242880,3145728,3,500
write_SC,515,60,5242880,3145728,3,500
write_SC,496,60,5242880,3145728,3,500
write_SC,446,60,5242880,3145728,3,500
write_SC,453,60,5242880,3145728,3,500
write_SC,2056,70,5242880,3670016,3,500
write_SC,522,70,5242880,3670016,3,500
write_SC,533,70,5242880,3670016,3,500
write_SC,505,70,5242880,3670016,3,500
write_SC,586,70,5242880,3670016,3,500
write_SC,536,70,5242880,3670016,3,500
write_SC,566,70,5242880,3670016,3,500
write_SC,557,70,5242880,3670016,3,500
write_SC,525,80,5242880,4194304,3,500
write_SC,568,80,5242880,4194304,3,500
write_SC,688,80,5242880,4194304,3,500
write_SC,588,80,5242880,4194304,3,500
write_SC,4920,80,5242880,4194304,3,500
write_SC,563,80,5242880,4194304,3,500
write_SC,494,80,5242880,4194304,3,500
write_SC,539,80,5242880,4194304,3,500
write_SC,625,90,5242880,4718592,3,500
write_SC,605,90,5242880,4718592,3,500
write_SC,600,90,5242880,4718592,3,500
write_SC,611,90,5242880,4718592,3,500
write_SC,617,90,5242880,4718592,3,500
write_SC,627,90,5242880,4718592,3,500
write_SC,581,90,5242880,4718592,3,500
write_SC,595,90,5242880,4718592,3,500
write_SC,3467,100,5242880,5242880,3,500
write_SC,586,100,5242880,5242880,3,500
write_SC,648,100,5242880,5242880,3,500
write_SC,634,100,5242880,5242880,3,500
write_SC,643,100,5242880,5242880,3,500
write_SC,690,100,5242880,5242880,3,500
write_SC,664,100,5242880,5242880,3,500
write_SC,597,100,5242880,5242880,3,500
write_SC,179,10,7864320,786432,5,750
write_SC,160,10,7864320,786432,5,750
write_SC,184,10,7864320,786432,5,750
write_SC,175,10,7864320,786432,5,750
write_SC,164,10,7864320,786432,5,750
write_SC,152,10,7864320,786432,5,750
write_SC,177,10,7864320,786432,5,750
write_SC,159,10,7864320,786432,5,750
write_SC,320,20,7864320,1572864,5,750
write_SC,303,20,7864320,1572864,5,750
write_SC,312,20,7864320,1572864,5,750
write_SC,308,20,7864320,1572864,5,750
write_SC,311,20,7864320,1572864,5,750
write_SC,281,20,7864320,1572864,5,750
write_SC,327,20,7864320,1572864,5,750
write_SC,345,20,7864320,1572864,5,750
write_SC,407,30,7864320,2359296,5,750
write_SC,428,30,7864320,2359296,5,750
write_SC,454,30,7864320,2359296,5,750
write_SC,412,30,7864320,2359296,5,750
write_SC,457,30,7864320,2359296,5,750
write_SC,437,30,7864320,2359296,5,750
write_SC,412,30,7864320,2359296,5,750
write_SC,408,30,7864320,2359296,5,750
write_SC,515,40,7864320,3145728,5,750
write_SC,474,40,7864320,3145728,5,750
write_SC,501,40,7864320,3145728,5,750
write_SC,481,40,7864320,3145728,5,750
write_SC,516,40,7864320,3145728,5,750
write_SC,482,40,7864320,3145728,5,750
write_SC,484,40,7864320,3145728,5,750
write_SC,497,40,7864320,3145728,5,750
write_SC,2544,50,7864320,3932160,5,750
write_SC,2553,50,7864320,3932160,5,750
write_SC,784,50,7864320,3932160,5,750
write_SC,718,50,7864320,3932160,5,750
write_SC,579,50,7864320,3932160,5,750
write_SC,482,50,7864320,3932160,5,750
write_SC,929,50,7864320,3932160,5,750
write_SC,547,50,7864320,3932160,5,750
write_SC,1307,60,7864320,4718592,5,750
write_SC,1230,60,7864320,4718592,5,750
write_SC,722,60,7864320,4718592,5,750
write_SC,696,60,7864320,4718592,5,750
write_SC,1262,60,7864320,4718592,5,750
write_SC,1312,60,7864320,4718592,5,750
write_SC,590,60,7864320,4718592,5,750
write_SC,611,60,7864320,4718592,5,750
write_SC,691,70,7864320,5505024,5,750
write_SC,691,70,7864320,5505024,5,750
write_SC,4656,70,7864320,5505024,5,750
write_SC,2604,70,7864320,5505024,5,750
write_SC,684,70,7864320,5505024,5,750
write_SC,747,70,7864320,5505024,5,750
write_SC,726,70,7864320,5505024,5,750
write_SC,791,70,7864320,5505024,5,750
write_SC,6668,80,7864320,6291456,5,750
write_SC,789,80,7864320,6291456,5,750
