Operation,Duration,MapSelectivity,MapInputRec,MapOutputRec,Mappers,DataSize
write_SC,187,10,5242880,524288,7,500
shuffle_SC,686,10,5242880,524288,7,500
write_SC,189,10,5242880,524288,7,500
shuffle_SC,640,10,5242880,524288,7,500
write_SC,190,10,5242880,524288,7,500
shuffle_SC,669,10,5242880,524288,7,500
write_SC,205,10,5242880,524288,7,500
shuffle_SC,680,10,5242880,524288,7,500
write_SC,183,10,5242880,524288,7,500
shuffle_SC,664,10,5242880,524288,7,500
write_SC,207,10,5242880,524288,7,500
shuffle_SC,719,10,5242880,524288,7,500
write_SC,193,10,5242880,524288,7,500
shuffle_SC,643,10,5242880,524288,7,500
write_SC,221,10,5242880,524288,7,500
shuffle_SC,695,10,5242880,524288,7,500
read_SC,724,10,5242880,524288,7,500
collect_SC,82,10,5242880,524288,7,500
spill_SC,566,10,5242880,524288,7,500
merge_SC,10,10,5242880,524288,7,500
read_SC,718,10,5242880,524288,7,500
collect_SC,87,10,5242880,524288,7,500
spill_SC,569,10,5242880,524288,7,500
merge_SC,21,10,5242880,524288,7,500
read_SC,725,10,5242880,524288,7,500
collect_SC,82,10,5242880,524288,7,500
spill_SC,535,10,5242880,524288,7,500
merge_SC,8,10,5242880,524288,7,500
read_SC,774,10,5242880,524288,7,500
collect_SC,94,10,5242880,524288,7,500
spill_SC,556,10,5242880,524288,7,500
merge_SC,9,10,5242880,524288,7,500
read_SC,827,10,5242880,524288,7,500
collect_SC,81,10,5242880,524288,7,500
spill_SC,511,10,5242880,524288,7,500
merge_SC,8,10,5242880,524288,7,500
read_SC,769,10,5242880,524288,7,500
collect_SC,98,10,5242880,524288,7,500
spill_SC,583,10,5242880,524288,7,500
merge_SC,12,10,5242880,524288,7,500
read_SC,758,10,5242880,524288,7,500
collect_SC,84,10,5242880,524288,7,500
spill_SC,528,10,5242880,524288,7,500
merge_SC,9,10,5242880,524288,7,500
read_SC,746,10,5242880,524288,7,500
collect_SC,86,10,5242880,524288,7,500
spill_SC,561,10,5242880,524288,7,500
merge_SC,18,10,5242880,524288,7,500
read_SC,755,20,5242880,1048576,7,500
collect_SC,93,20,5242880,1048576,7,500
spill_SC,784,20,5242880,1048576,7,500
merge_SC,10,20,5242880,1048576,7,500
read_SC,720,20,5242880,1048576,7,500
collect_SC,107,20,5242880,1048576,7,500
spill_SC,802,20,5242880,1048576,7,500
merge_SC,8,20,5242880,1048576,7,500
read_SC,782,20,5242880,1048576,7,500
collect_SC,98,20,5242880,1048576,7,500
spill_SC,772,20,5242880,1048576,7,500
merge_SC,9,20,5242880,1048576,7,500
read_SC,793,20,5242880,1048576,7,500
collect_SC,121,20,5242880,1048576,7,500
spill_SC,778,20,5242880,1048576,7,500
merge_SC,9,20,5242880,1048576,7,500
read_SC,740,20,5242880,1048576,7,500
collect_SC,130,20,5242880,1048576,7,500
spill_SC,854,20,5242880,1048576,7,500
merge_SC,9,20,5242880,1048576,7,500
read_SC,867,20,5242880,1048576,7,500
collect_SC,99,20,5242880,1048576,7,500
spill_SC,784,20,5242880,1048576,7,500
merge_SC,8,20,5242880,1048576,7,500
write_SC,248,20,5242880,1048576,7,500
shuffle_SC,2523,20,5242880,1048576,7,500
read_SC,663,20,5242880,1048576,7,500
collect_SC,117,20,5242880,1048576,7,500
spill_SC,771,20,5242880,1048576,7,500
merge_SC,8,20,5242880,1048576,7,500
read_SC,761,20,5242880,1048576,7,500
collect_SC,110,20,5242880,1048576,7,500
spill_SC,782,20,5242880,1048576,7,500
merge_SC,12,20,5242880,1048576,7,500
write_SC,275,20,5242880,1048576,7,500
shuffle_SC,790,20,5242880,1048576,7,500
write_SC,257,20,5242880,1048576,7,500
shuffle_SC,805,20,5242880,1048576,7,500
write_SC,262,20,5242880,1048576,7,500
shuffle_SC,780,20,5242880,1048576,7,500
