Operation,Duration,MapSelectivity,MapInputRec,MapOutputRec,Mappers,DataSize
merge_SC,10,10,5242880,524288,7,500
merge_SC,21,10,5242880,524288,7,500
merge_SC,8,10,5242880,524288,7,500
merge_SC,9,10,5242880,524288,7,500
merge_SC,8,10,5242880,524288,7,500
merge_SC,12,10,5242880,524288,7,500
merge_SC,9,10,5242880,524288,7,500
merge_SC,18,10,5242880,524288,7,500
merge_SC,10,20,5242880,1048576,7,500
merge_SC,8,20,5242880,1048576,7,500
merge_SC,9,20,5242880,1048576,7,500
merge_SC,9,20,5242880,1048576,7,500
merge_SC,9,20,5242880,1048576,7,500
merge_SC,8,20,5242880,1048576,7,500
merge_SC,8,20,5242880,1048576,7,500
merge_SC,12,20,5242880,1048576,7,500
merge_SC,9,30,5242880,1572864,7,500
merge_SC,9,30,5242880,1572864,7,500
merge_SC,8,30,5242880,1572864,7,500
merge_SC,9,30,5242880,1572864,7,500
merge_SC,13,30,5242880,1572864,7,500
merge_SC,8,30,5242880,1572864,7,500
merge_SC,10,30,5242880,1572864,7,500
merge_SC,9,30,5242880,1572864,7,500
merge_SC,8,40,5242880,2097152,7,500
merge_SC,9,40,5242880,2097152,7,500
merge_SC,14,40,5242880,2097152,7,500
merge_SC,10,40,5242880,2097152,7,500
merge_SC,9,40,5242880,2097152,7,500
merge_SC,11,40,5242880,2097152,7,500
merge_SC,8,40,5242880,2097152,7,500
merge_SC,9,40,5242880,2097152,7,500
merge_SC,8,50,5242880,2621440,7,500
merge_SC,8,50,5242880,2621440,7,500
merge_SC,14,50,5242880,2621440,7,500
merge_SC,9,50,5242880,2621440,7,500
merge_SC,8,50,5242880,2621440,7,500
merge_SC,11,50,5242880,2621440,7,500
merge_SC,8,50,5242880,2621440,7,500
merge_SC,28,50,5242880,2621440,7,500
merge_SC,8,60,5242880,3145728,7,500
merge_SC,7,60,5242880,3145728,7,500
merge_SC,8,60,5242880,3145728,7,500
merge_SC,8,60,5242880,3145728,7,500
merge_SC,8,60,5242880,3145728,7,500
merge_SC,8,60,5242880,3145728,7,500
merge_SC,12,60,5242880,3145728,7,500
merge_SC,12,60,5242880,3145728,7,500
merge_SC,9,70,5242880,3670016,7,500
merge_SC,8,70,5242880,3670016,7,500
merge_SC,19,70,5242880,3670016,7,500
merge_SC,8,70,5242880,3670016,7,500
merge_SC,7,70,5242880,3670016,7,500
merge_SC,16,70,5242880,3670016,7,500
merge_SC,11,70,5242880,3670016,7,500
merge_SC,10,70,5242880,3670016,7,500
merge_SC,8,80,5242880,4194304,7,500
