Operation,Duration,MapSelectivity,MapInputRec,MapOutputRec,Mappers,DataSize,BlockSize
read_SC,1128,10,5242880,524288,3,500,128
collect_SC,67,10,5242880,524288,3,500,128
spill_SC,550,10,5242880,524288,3,500,128
merge_SC,8,10,5242880,524288,3,500,128
write_SC,1605,10,5242880,524288,3,500,128
shuffle_SC,1206,10,5242880,524288,3,500,128
read_SC,1164,10,5242880,524288,3,500,128
collect_SC,67,10,5242880,524288,3,500,128
spill_SC,497,10,5242880,524288,3,500,128
merge_SC,10,10,5242880,524288,3,500,128
read_SC,999,10,5242880,524288,3,500,128
collect_SC,69,10,5242880,524288,3,500,128
spill_SC,591,10,5242880,524288,3,500,128
merge_SC,9,10,5242880,524288,3,500,128
read_SC,1164,10,5242880,524288,3,500,128
collect_SC,68,10,5242880,524288,3,500,128
spill_SC,360,10,5242880,524288,3,500,128
merge_SC,8,10,5242880,524288,3,500,128
write_SC,1915,20,5242880,1048576,3,500,128
shuffle_SC,2051,20,5242880,1048576,3,500,128
read_SC,1090,20,5242880,1048576,3,500,128
collect_SC,106,20,5242880,1048576,3,500,128
spill_SC,617,20,5242880,1048576,3,500,128
merge_SC,9,20,5242880,1048576,3,500,128
read_SC,1159,20,5242880,1048576,3,500,128
collect_SC,95,20,5242880,1048576,3,500,128
spill_SC,730,20,5242880,1048576,3,500,128
merge_SC,15,20,5242880,1048576,3,500,128
read_SC,1081,20,5242880,1048576,3,500,128
collect_SC,96,20,5242880,1048576,3,500,128
spill_SC,604,20,5242880,1048576,3,500,128
merge_SC,9,20,5242880,1048576,3,500,128
read_SC,1219,20,5242880,1048576,3,500,128
collect_SC,100,20,5242880,1048576,3,500,128
spill_SC,643,20,5242880,1048576,3,500,128
merge_SC,8,20,5242880,1048576,3,500,128
read_SC,1050,30,5242880,1572864,3,500,128
collect_SC,140,30,5242880,1572864,3,500,128
spill_SC,878,30,5242880,1572864,3,500,128
merge_SC,8,30,5242880,1572864,3,500,128
read_SC,1076,30,5242880,1572864,3,500,128
collect_SC,145,30,5242880,1572864,3,500,128
spill_SC,943,30,5242880,1572864,3,500,128
merge_SC,9,30,5242880,1572864,3,500,128
read_SC,1274,30,5242880,1572864,3,500,128
collect_SC,161,30,5242880,1572864,3,500,128
spill_SC,840,30,5242880,1572864,3,500,128
merge_SC,8,30,5242880,1572864,3,500,128
write_SC,1233,30,5242880,1572864,3,500,128
shuffle_SC,3256,30,5242880,1572864,3,500,128
read_SC,1596,30,5242880,1572864,3,500,128
collect_SC,119,30,5242880,1572864,3,500,128
spill_SC,947,30,5242880,1572864,3,500,128
