Operation,Duration,MapSelectivity,MapInputRec,MapOutputRec,Mappers,DataSize
Map Phase,1927,10,1342178,134218,8,1024
Map Phase,2030,10,1342177,134218,8,1024
Map Phase,2158,10,1342177,134218,8,1024
Map Phase,1970,10,1342177,134218,8,1024
Map Phase,1538,10,1342177,134218,8,1024
Map Phase,2035,10,1342178,134218,8,1024
Map Phase,2026,10,1342177,134218,8,1024
Map Phase,2035,10,1342177,134218,8,1024
Map Phase,2054,20,1342177,268436,8,1024
Map Phase,2096,20,1342178,268436,8,1024
Map Phase,2124,20,1342177,268436,8,1024
Map Phase,2133,20,1342177,268436,8,1024
Map Phase,2085,20,1342177,268436,8,1024
Map Phase,2094,20,1342178,268436,8,1024
Map Phase,2087,20,1342177,268436,8,1024
Map Phase,2124,20,1342177,268436,8,1024
Map Phase,2198,30,1342178,402654,8,1024
Map Phase,2265,30,1342177,402654,8,1024
Map Phase,2219,30,1342177,402654,8,1024
Map Phase,2133,30,1342177,402654,8,1024
Map Phase,2163,30,1342177,402654,8,1024
Map Phase,2261,30,1342177,402654,8,1024
Map Phase,2105,30,1342177,402654,8,1024
Map Phase,2149,30,1342178,402654,8,1024
Map Phase,2210,40,1342178,536871,8,1024
Map Phase,2231,40,1342177,536871,8,1024
Map Phase,2290,40,1342177,536871,8,1024
Map Phase,2231,40,1342177,536871,8,1024
Map Phase,2208,40,1342177,536871,8,1024
Map Phase,2216,40,1342178,536871,8,1024
Map Phase,2223,40,1342177,536871,8,1024
Map Phase,2203,40,1342177,536871,8,1024
Map Phase,2300,50,1342177,671089,8,1024
Map Phase,2289,50,1342178,671089,8,1024
Map Phase,2291,50,1342177,671089,8,1024
Map Phase,2271,50,1342177,671089,8,1024
Map Phase,2312,50,1342178,671089,8,1024
Map Phase,2438,50,1342177,671089,8,1024
Map Phase,2274,50,1342177,671089,8,1024
Map Phase,2284,50,1342177,671089,8,1024
Map Phase,2442,60,1342178,805307,8,1024
Map Phase,2442,60,1342177,805307,8,1024
Map Phase,2402,60,1342177,805307,8,1024
Map Phase,2401,60,1342177,805307,8,1024
Map Phase,2451,60,1342178,805307,8,1024
Map Phase,2471,60,1342177,805307,8,1024
Map Phase,2506,60,1342177,805307,8,1024
