Operation,Duration,MapSelectivity,MapInputRec,MapOutputRec,Mappers,DataSize
Reduce Phase,2479,10,536875,536875,8,1024
Reduce Phase,2419,10,536869,536869,8,1024
Reduce Phase,4355,20,1073743,1073743,8,1024
Reduce Phase,4306,20,1073745,1073745,8,1024
Reduce Phase,6271,30,1610614,1610614,8,1024
Reduce Phase,6069,30,1610618,1610618,8,1024
Reduce Phase,8116,40,2147483,2147483,8,1024
Reduce Phase,7985,40,2147485,2147485,8,1024
Reduce Phase,10722,50,2684354,2684354,8,1024
Reduce Phase,9906,50,2684358,2684358,8,1024
Reduce Phase,11913,60,3221226,3221226,8,1024
Reduce Phase,11790,60,3221230,3221230,8,1024
Reduce Phase,14634,70,3758094,3758094,8,1024
Reduce Phase,14479,70,3758098,3758098,8,1024
Reduce Phase,15526,80,4294968,4294968,8,1024
Reduce Phase,15331,80,4294968,4294968,8,1024
Reduce Phase,17652,90,4831841,4831841,8,1024
Reduce Phase,17387,90,4831839,4831839,8,1024
Reduce Phase,23072,100,5368709,5368709,8,1024
Reduce Phase,23072,100,5368709,5368709,8,1024
Reduce Phase,3571,10,805310,805310,12,1536
Reduce Phase,3466,10,805306,805306,12,1536
Reduce Phase,6283,20,1610616,1610616,12,1536
Reduce Phase,6228,20,1610616,1610616,12,1536
Reduce Phase,9225,30,2415926,2415926,12,1536
Reduce Phase,8896,30,2415922,2415922,12,1536
Reduce Phase,11919,40,3221227,3221227,12,1536
Reduce Phase,11873,40,3221225,3221225,12,1536
Reduce Phase,14862,50,4026533,4026533,12,1536
Reduce Phase,14611,50,4026535,4026535,12,1536
Reduce Phase,19021,60,4831841,4831841,12,1536
Reduce Phase,18879,60,4831843,4831843,12,1536
Reduce Phase,20203,70,5637142,5637142,12,1536
Reduce Phase,19758,70,5637146,5637146,12,1536
Reduce Phase,24654,80,6442452,6442452,12,1536
Reduce Phase,22995,80,6442452,6442452,12,1536
Reduce Phase,28575,90,7247761,7247761,12,1536
Reduce Phase,25366,90,7247759,7247759,12,1536
Reduce Phase,29504,100,8053064,8053064,12,1536
Reduce Phase,29504,100,8053063,8053063,12,1536
Reduce Phase,4644,10,1073741,1073741,16,2048
Reduce Phase,4478,10,1073747,1073747,16,2048
Reduce Phase,8460,20,2147489,2147489,16,2048
Reduce Phase,8309,20,2147487,2147487,16,2048
Reduce Phase,12120,30,3221226,3221226,16,2048
Reduce Phase,12062,30,3221238,3221238,16,2048
Reduce Phase,15707,40,4294964,4294964,16,2048
Reduce Phase,15434,40,4294972,4294972,16,2048
Reduce Phase,19323,50,5368707,5368707,16,2048
Reduce Phase,19152,50,5368717,5368717,16,2048
Reduce Phase,23469,60,6442461,6442461,16,2048
Reduce Phase,23120,60,6442451,6442451,16,2048
Reduce Phase,27974,70,7516189,7516189,16,2048
Reduce Phase,27739,70,7516195,7516195,16,2048
Reduce Phase,33499,80,8589938,8589938,16,2048
Reduce Phase,31470,80,8589934,8589934,16,2048
Reduce Phase,34525,90,9663676,9663676,16,2048
Reduce Phase,33813,90,9663684,9663684,16,2048
Reduce Phase,41434,100,10737418,10737418,16,2048
Reduce Phase,41434,100,10737418,10737418,16,2048
Reduce Phase,5702,10,1342177,1342177,20,2560
Reduce Phase,5509,10,1342183,1342183,20,2560
Reduce Phase,10540,20,2684358,2684358,20,2560
Reduce Phase,10318,20,2684362,2684362,20,2560
Reduce Phase,15250,30,4026546,4026546,20,2560
Reduce Phase,15196,30,4026534,4026534,20,2560
Reduce Phase,19624,40,5368706,5368706,20,2560
Reduce Phase,19436,40,5368714,5368714,20,2560
Reduce Phase,24685,50,6710885,6710885,20,2560
Reduce Phase,23961,50,6710895,6710895,20,2560
Reduce Phase,29376,60,8053074,8053074,20,2560
Reduce Phase,29277,60,8053066,8053066,20,2560
Reduce Phase,33710,70,9395235,9395235,20,2560
Reduce Phase,33470,70,9395245,9395245,20,2560
Reduce Phase,39304,80,10737422,10737422,20,2560
Reduce Phase,37868,80,10737418,10737418,20,2560
Reduce Phase,46541,90,12079595,12079595,20,2560
Reduce Phase,43177,90,12079605,12079605,20,2560
Reduce Phase,48954,100,13421773,13421773,20,2560
Reduce Phase,48954,100,13421772,13421772,20,2560
Reduce Phase,6875,10,1610613,1610613,24,3072
Reduce Phase,6745,10,1610619,1610619,24,3072
Reduce Phase,12594,20,3221233,3221233,24,3072
Reduce Phase,12516,20,3221231,3221231,24,3072
Reduce Phase,17906,30,4831855,4831855,24,3072
Reduce Phase,17714,30,4831841,4831841,24,3072
Reduce Phase,23835,40,6442451,6442451,24,3072
Reduce Phase,23182,40,6442453,6442453,24,3072
Reduce Phase,29495,50,8053074,8053074,24,3072
Reduce Phase,29439,50,8053062,8053062,24,3072
Reduce Phase,34603,60,9663687,9663687,24,3072
Reduce Phase,34277,60,9663681,9663681,24,3072
Reduce Phase,50229,70,11274283,11274283,24,3072
Reduce Phase,49947,70,11274293,11274293,24,3072
Reduce Phase,46603,80,12884903,12884903,24,3072
Reduce Phase,46084,80,12884905,12884905,24,3072
Reduce Phase,53809,90,14495524,14495524,24,3072
Reduce Phase,53392,90,14495516,14495516,24,3072
Reduce Phase,63118,100,16106127,16106127,24,3072
Reduce Phase,63118,100,16106127,16106127,24,3072
Reduce Phase,8978,10,2147492,2147492,32,4096
Reduce Phase,8866,10,2147484,2147484,32,4096
Reduce Phase,18109,20,4294976,4294976,32,4096
Reduce Phase,16883,20,4294976,4294976,32,4096
Reduce Phase,24111,30,6442458,6442458,32,4096
Reduce Phase,23417,30,6442470,6442470,32,4096
Reduce Phase,31168,40,8589938,8589938,32,4096
Reduce Phase,31153,40,8589934,8589934,32,4096
Reduce Phase,40362,50,10737417,10737417,32,4096
Reduce Phase,39708,50,10737431,10737431,32,4096
